Primary Filter Tag,Secondary Filter Tag,Organization,Hours of Operation,Address,Town,Zip Code,Phone Number,Website,Coordinates,Additional Details,Delivery Method
Emergency & Crisis Services,Family and Children's Services ,Stony Brook Southampton Hospital Safe Haven,24/7,240 Meeting House Lane,Southampton,11968,(631) 726-8200,https://southampton.stonybrookmedicine.edu/services/safe-haven-for-babies,"40.8850549, -72.38037113","Safe Haven is a safety net for both the mother and the newborn infant. It allows mothers, fathers or whoever is in possession of a newborn, 30 days old or less, to leave him/her at the Hospital, a staffed fire rescue station, or staffed emergency medical service station, with no questions asked, totally anonymous, free from fear of prosecution.",In-Person
Emergency & Crisis Services,Family and Children's Services ,Catholic Health Safe Haven- Good Samaritan University Hospital ,24/7,1000 Mountaj Highway,West Islip,11795,631-376-3000,https://www.catholichealthli.org/labor-delivery,"40.6940058, -73.29434148","Safe Haven is a safety net for both the mother and the newborn infant. It allows mothers, fathers or whoever is in possession of a newborn, 30 days old or less, to leave him/her at the Hospital, a staffed fire rescue station, or staffed emergency medical service station, with no questions asked, totally anonymous, free from fear of prosecution.",In-Person
Emergency & Crisis Services,Family and Children's Services ,Catholic Health Safe Haven- Mery Medical Center,24/7,1000 N Village Ave,Rockville Centre,11570,516-626-3729,https://www.catholichealthli.org/labor-delivery,"40.68719095, -73.63087303","Safe Haven is a safety net for both the mother and the newborn infant. It allows mothers, fathers or whoever is in possession of a newborn, 30 days old or less, to leave him/her at the Hospital, a staffed fire rescue station, or staffed emergency medical service station, with no questions asked, totally anonymous, free from fear of prosecution.",In-Person
Emergency & Crisis Services,Family and Children's Services ,Catholic Health Safe Haven- St.Charles Hospital,24/7,200 Belle Terre Rd,Port Jefferson,11777,631-474-3700,https://www.catholichealthli.org/labor-delivery,"40.9461302, -73.06096822","Safe Haven is a safety net for both the mother and the newborn infant. It allows mothers, fathers or whoever is in possession of a newborn, 30 days old or less, to leave him/her at the Hospital, a staffed fire rescue station, or staffed emergency medical service station, with no questions asked, totally anonymous, free from fear of prosecution.",In-Person
Emergency & Crisis Services,Family and Children's Services ,The Neighborhood House,M-F 9:00 AM - 5:00 PM,"132 Clyde Street, Suite 1B",West Sayville,11796,(631) 589-0055,https://www.tnh-hope.org/,"40.7222301,-73.0914887","The Neighborhood House provides support groups to individuals and families struggling in the aftermath of traumatic loss so that they can grieve at their own pace. In addition, they provide prevention programs on issues of suicide, addiction awareness and prevention, and coping with grief.",In-Person
Emergency & Crisis Services,Alcohol and Substance Use Disorder Resources,LIACADD-Suffolk County Substance Abuse 24/7 Hotline (Suffolk County),24/7,,,,631-979-1700,,,,Hotline
Emergency & Crisis Services,Alcohol and Substance Use Disorder Resources,LIACADD-Suffolk County Substance Abuse 24/7 Hotline (Nassau County),24/7,,,,516-747-2606,,,,Hotline
Emergency & Crisis Services,Alcohol and Substance Use Disorder Resources,Alcoholics Anonymous (Nassau County),Call First,,,,516-292-3040,https://nassauintergroup.org/,,"Nassau Intergroup provides information, resources, and services in support of A.A. groups and members in Nassau County, Long Island, NY.",Hotline
Emergency & Crisis Services,Alcohol and Substance Use Disorder Resources,Alcoholics Anonymous (Suffolk County),Call First,,,,631-654-1150,https://suffolkny-aa.org/,,"Alcoholics Anonymous is a fellowship of people who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism.",Hotline
Emergency & Crisis Services,Alcohol and Substance Use Disorder Resources,Narcotics Anonymous (Nassau County),Call First,,,,516-827-9500,https://nassauna.org/,,,Hotline
Emergency & Crisis Services,Alcohol and Substance Use Disorder Resources,Narcotics Anonymous (Suffolk County),Call First,,,,631-689-6262,https://www.longislandna.com/,,,Hotline
Emergency & Crisis Services,COVID Resources,Funeral Assistance Line Number (FEMA),M-F 9am-9pm,,,,844-684-6333,https://www.fema.gov/disaster/historic/coronavirus/economic/funeral-assistance,,Assistance will end in September 2025,Hotline
Emergency & Crisis Services,COVID Resources,Post COVID Clinic Stony Brook Advanced Speciality Care,Call to book an appts,"4 Smith Haven Mall, Suite 202",Lake Grove,11755,631-444-1933,https://www.stonybrookmedicine.edu/advancedspecialtycare/lakegrove/post_COVID_clinic,"40.8634413, -73.1256326",,In-Person
Emergency & Crisis Services,Important Numbers/ Hotlines,Safe Haven Program (Abandoned Infant) Hotline,24/7,,,,1-866-505-7233,https://ocfs.ny.gov/programs/safe/,,"A parent is not guilty of a crime if the infant is left with an appropriate person or in a suitable location and the parent promptly notifies an appropriate person of the infant’s location.  A hospital, staffed police or fire station are examples of safe and suitable choices.",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,Crime Victim Center Rape Crisis Center 24 Hour Hotline,24/7,100 Comac Street,Ronkonkoma,11779,(631) 332-9234,https://www.parentsformeganslaw.org/contact-us-2/,"40.79125874418888, -73.14399028854046","The Suffolk County Crime Victims Center (CVC) provides vital trauma informed support services, information, and multi-agency service referrals for assistance to all victims of violent crime, all victims of hate crime and elderly, minor and disabled victims of property crime. The CVC will also assist you in completion of required documents to secure reimbursement for medical and essential personal property expenses related to the crime.",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,Crime Victim Center Domestic Violence 24 Hour Hotline,24/7,100 Comac Street,Ronkonkoma,11779,(631) 624-1084,https://www.parentsformeganslaw.org/contact-us-2/,"40.79125874418888, -73.14399028854046","The Suffolk County Crime Victims Center (CVC) provides vital trauma informed support services, information, and multi-agency service referrals for assistance to all victims of violent crime, all victims of hate crime and elderly, minor and disabled victims of property crime. The CVC will also assist you in completion of required documents to secure reimbursement for medical and essential personal property expenses related to the crime.",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,Crime Victim Center  Sex Offender Tip line,24/7,100 Comac Street,Ronkonkoma,11779,1-(855)-736-5847 ,https://www.parentsformeganslaw.org/sex-offender-registration-tips-sort/,"40.79125874418888, -73.14399028854046",You can contact the Suffolk County Department at 631-316-3237,Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,The Safe Center of Long Island 24hr Hotline,24/7,"15 Grumman Road West, Suite 1000",Bethpage,11714,(516) 542-0404,https://thesafecenterli.org/,"40.74371523565826, -73.48664394251884","The Safe Center offers free, confidential, specialized services for adult and child victims of domestic violence/intimate partner violence, rape/sexual assault, child abuse, and human trafficking. 24hr Hotline: (516) 542-0404 ",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,United Way 2-1-1 Long Island,24/7,,,,211,https://www.unitedwayli.org/211,,You can also text your zip code to 898-211.,Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,The National Suicide Prevention Hotline,24/7,,,,988,https://988lifeline.org/,,"You can call, text, or chat the hotline",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,La Línea Nacional de Prevención del Suicidio,,,,,988,https://988lifeline.org/es/inicio/,,"Llama, textea, o chatea el numero",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,Adult Protective Services (APS),Monday - Friday (excluding holidays) 8:30am - 5:00pm,,,,1-844-697-3505,https://ocfs.ny.gov/programs/adult-svcs/contact.php#local-aps,,Call center staff can answer basic questions and provide contact information about the Family-Type Home for Adults program and the Adult Protective Services program. They can also take messages to be sent to the local district.,Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,Child Protective Services Hotline (CPS),24/7,,,,1-800-342-3720,"https://ocfs.ny.gov/programs/cps/#:~:text=If%20you%20suspect%20a%20child,You%20can%20make%20a%20difference.&text=Mandated%20reporters%20must%20file%2C%20within,Maltreatment%20(LDSS%2D2221A).",,"CPS is required to investigate child abuse and maltreatment reports, to protect children (anyone under 18 years old) from further abuse or maltreatment, and to provide rehabilitative services to children, parents, and other family members involved.",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,County Executive’s Office Woman’s Services (Suffolk County),Monday - Friday 8:30am - 4:30pm,,,,631-853-8222,https://www.suffolkcountyny.gov/Elected-Officials/County-Executive/Womens-Services,,"The Helpline offers information, referrals to resources for further help and emotional support. The Helpline is bilingual.",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,DASH 24/7 Hotline,24/7,,,,631-952-3333,"https://www.fsl-li.org/help-services/diagnosis-assessment-and-stabilization-hub-dash/#:~:text=Help%20Services-,Diagnostic%2C%20Assessment%2C%20and%20Stabilization%20Hub%20(DASH)%3A%20Hotline%20631,and%2For%20other%20life%20stressors.",,"DASH is a 24/7 voluntary program for individuals in a crisis situation who are feeling overwhelmed due to substance use, mental illness and/or other life stressors.",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,"Lighthouse Mission (Food, Clothes, Holiday Assistance)",24/7,,,,631-758-7584,"https://www.lighthousemission.com/help-the-homeless#:~:text=Please%20call%20Lighthouse%20Mission%20at,(631)%20854%2D9930.",,,Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,Long Island Against Domestic Violence Hotline & Shelter,24/7,,,,631-666-8833,https://liadv.org/,,"Counselors provide crisis intervention, information on options and linkage to all our services. Use the email form on the website if needed",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,National Domestic Abuse Hotline (Se habla Español),24/7,,,,1-800-799-7233,https://www.thehotline.org/,,You can also text 'START' to 88788,Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,National Human Trafficking 24hr Hotline (Se habla Español),24/7,,,,1-888-373-7888,https://humantraffickinghotline.org/en/get-help,,You can also text ' * ' to 233733,Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,NYS Public Health Hotline,Monday - Friday (excluding holidays) 8:30am - 5:00pm,,,,1-833-364-4695,https://www.health.ny.gov/contact/doh800.htm#:~:text=1%2D888%2DNYS%2DPLTC,,"Public Health Duty Officer Helpline - 1-866-881-2809
Please Note: The NYSDOH Public Health Duty Officer is the Department’s point of contact for emergency events including communicable disease reports, environmental health incidents and other health related emergencies",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,Response Crisis Center Intervention Hotline,24/7,,,,631-751-7500,https://www.responsecrisiscenter.org/,,Professionally trained and supervised counselors offer callers telephone support and provide referrals for support groups,Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,The Retreat (Domestic Violence) Hotline and Shelter,24/7,,,,631-329-2200,https://allagainstabuse.org/contact-us/,,For Deaf Crisis: Call 321-800-3323 or text HAND to 839863. Give them your location to access The Retreat's services.,Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,Safe Haven Program (Abandoned Infant),24/7,,,,1-866-505-7233,https://ocfs.ny.gov/programs/safe/,,"A parent is not guilty of a crime if the infant is left with an appropriate person or in a suitable location and the parent promptly notifies an appropriate person of the infant’s location.  A hospital, staffed police or fire station are examples of safe and suitable choices.",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,Stony Brook Comprehensive Psychiatric Emergency Program (CPEP),24/7,,,,631-444-6050,https://www.stonybrookmedicine.edu/patientcare/psychiatry/cpep,,"The Comprehensive Psychiatric Emergency Program provides emergency psychiatric services to people in urgent need of psychiatric evaluation 24 hours per day, 7 days per week.",Hotline
Emergency & Crisis Services,Important Numbers / Hotlines,ECLI-VIBES,24/7,,,,631-360-3606,https://eclivibes.org/,,"A variety of services that are critical to the wellbeing of survivors – from a 24-hour Hopeline, to counseling programs, advocacy and legal assistance, Sexual Assault Forensic Examiner (SAFE) program, a housing program and a fully-stocked community food pantry.",Hotline
Employment & Veteran Services,Employment ,Eastern Suffolk BOCES,Call First,"201 Sunrise Highway
",Patchogue,11772,631-289-2200,https://www.esboces.org/about-us/for-staff/employee-assistance-program/eap,"40.782000253263675, -72.99673926865054","The mission of Employee/Student Support Services is to provide support to employees, their immediate family members and students in participating districts and agencies in an effort to maximize overall wellness and each individual’s learning potential.",In-Person
Employment & Veteran Services,Employment ,Western Suffolk BOCES,M-F 8:00 AM - 4:30PM,507 Deer Park Road,Dix Hills,11746,631-549-4900,https://www.wsboces.org/employment-services/,"40.825378185477, -73.34327845894423",Western Suffolk BOCES believes its highly qualified and dedicated employees form the foundation for helping students build successful lives.,In-Person
Employment & Veteran Services,Employment,NYS Department of Labor (DOL),Call First,,,,888-469-7365,https://dol.ny.gov/find-job-0,,"NYSDOL has incredible resources to help you find a job, research careers, and learn about special programs for jobseekers",Virtual
Employment & Veteran Services,Employment,Suffolk Works Employment Program,,,,,631-853-6600,https://www.suffolkcountyny.gov/Departments/Labor/Employment-Center,,"The center supplies the job seeking customer with all the tools necessary for a self-directed or staff-assisted job search, and provides employers with facilities and workforce support.",Hotline
Employment & Veteran Services,Veterans Assistance,Veterans Administration Homeless Programs,Call First,,,,877-424-3838,https://www.va.gov/homeless/,,The mission of the Homeless Programs Office (HPO) is to assist Veterans and their families in obtaining permanent and sustainable housing with access to high-quality health care and supportive services.,Hotline
Employment & Veteran Services,Veterans Assistance,Northport VA Medical Center,M-F 8:00 AM - 4:30 PM,"79 Middleville Road, Building 200",Northport,11768,631-261-4400,https://www.va.gov/northport-health-care/,"40.894189758080934, -73.30850225581474",,In-Person
Employment & Veteran Services,Veterans Assistance,VA Northport Beacon House Homeless Shelter,24/7,79 Middleville Rd Bldg. 11,Fort Salonga,11768,631-261-4400,https://www.nyconnects.ny.gov/services/northport-veterans-residence-sofa31398,"40.90012767699027, -73.31388812164656","We help Veterans who are homeless or at risk of becoming homeless due to financial hardship, unemployment, addiction, depression, or transition from jail. Please contact the program coordinator first",In-Person
Food & Nutrition Services,Food Pantries,Grace Community Church,Call First,117 Columbus Boulevard,Amityville,11701,631-942-3486,https://gracecommunityonline.org/ministry/,"40.70800102569313, -73.41266175767117",,In-Person
Food & Nutrition Services,Food Pantries,Hollywood Full Gospel Baptist Cathedral,Call First,3504 Great Neck Road,Amityville,11701,631-842-7091,https://hollywoodfullgospel.com/about-us,"40.70478163318398, -73.41837128465765",,In-Person
Food & Nutrition Services,Food Pantries,St.Jospeh Parish Outreach,Call First,39 N Carll Ave,Babylon,11702,631-669-4544,https://stjosephsbabylon.org/get-involved/parish-outreach,"40.69826156401418, -73.32531427135397",,In-Person
Food & Nutrition Services,Food Pantries,First Presbyterian Church Of Babylon,Monday and Friday 10:00 AM - 1:00 PM,79 East Main St.,Babylon,11702,631-587-5838 EXT. 304,https://first-pres-babylon.squarespace.com/foodpantry,"40.69769069166152, -73.3220037",,In-Person
Food & Nutrition Services,Food Pantries,St.Patrick's Soup Kitchen,Monday and Friday 9:00am-12:15pm,9 North Clinton Ave,Bay Shore,11706,(631) 665-4917,https://stpatrickbayshore.org/parish-social-ministry/,"40.719326901912126, -73.25345433144331",,In-Person
Food & Nutrition Services,Food Pantries,Love And Mercy Fellowship Food Pantry,Call First,1420 Union Blvd.,Bay Shore,11706,631-665-1059,https://www.loveandmercy.church/food-pantry/,"40.7214625074663, -73.25895743068469",,In-Person
Food & Nutrition Services,Food Pantries,Pronto Of Long Island Inc.,Call First,128 Pine Aire Drive,Bay Shore,11706,631-231-8290,https://www.prontolongisland.org/,"40.77337497354043, -73.2730529730135",Call first for an intake. Pronto also provides clothing and other basic needs supplies,In-Person
Food & Nutrition Services,Food Pantries,St. Gertude RC Church,F 8:30am-9:30am,28 School St,Bayville,11709,(516) 490-8793,https://www.stgerts.com/st-vincent-de-paulpantry.html,"40.91048879263127, -73.56724214430915",,In-Person
Food & Nutrition Services,Food Pantries,Lighthouse Mission Inc.,Call First,1543 Montauk Highway,Bellport,11713,631-758-7584,https://www.lighthousemission.com/,"40.77342222251327, -72.95207254232882",Call to inquire about the hours and locations ,In-Person
Food & Nutrition Services,Food Pantries,Mary Immaculate Roman Catholic Church,"Wednesday 10:00am -11:00am & 6:00-7:00 pm,  Fridays 10:00- 11:00 am",16 Brown's Lane,Bellport,11713,631-286-3795,https://www.miparish.net/food-pantry,"40.757718947780404, -72.93545418465766",Residency of Bellport area required ,In-Person
Food & Nutrition Services,Food Pantries,Long Island Cares Inc.-The Harry Chapin Food Bank Essential Market,Monday- Friday 9:00am-3:30pm,386 N. Wantagh Ave,Bethpage,11788,516.753.9880,https://www.licares.org/find-food/,"40.73527, -73.495410","3rd Thurs. each month 9:00 am-noon

*Closed for lunch Noon – 12:30 pm

**Tuesdays are Military Appreciation Tuesdays reserved for veterans and their families.",In-Person
Food & Nutrition Services,Food Pantries,Parish of St. Martin of Tours,Call First,220 Central Ave,Bethpage,11714,516-931-7332 ,https://www.smtbethpage.org/ministries/parish-committees/parish-outreach-food-pantry,"40.73826, -73.478130",Call to make an appointment ,In-Person
Food & Nutrition Services,Food Pantries,Our Lady Of The Snow,Monday-Thursday 10:00am-1:00pm,175 Blue Point Ave.,Blue Point,11715,631-363-2417,https://ourladyofthesnowbluepoint.com/list-of-ministries/food-concern-ministry/,"40.74717529804477, -73.03523463068471",,In-Person
Food & Nutrition Services,Food Pantries,The Bob Walther Food Pantry of St. John Nepomucene,"Tuesday 10:00am-3:00pm & 6:00pm-7:00pm, Wednesday  10:00am-3:00pm, Thursday 10:00am-1:00pm",1140 Locust Ave,Bohemia,11716,631.567.1995 ,https://stjohnnepomucene.com/parish-outreach/,"40.769926171473294, -73.11583647129095","Only serving residents of Bohemia, Oakdale, or Wes Sayville",In-Person
Food & Nutrition Services,Food Pantries,Bridgehampton Food Pantry,Call First,2357 Montauk Highway,Bridgehampton,11932,631-481-8179,,"40.93667839021314, -72.30250023859674",,In-Person
Food & Nutrition Services,Food Pantries,Queen of The Most Holy Rosary Church,Call First,2350 Montauk Highway,Bridgehampton,11932,516-733-7094,https://www.qmhr.org/ministries.html,"40.93602129176517, -72.306772390359",Residency required ,In-Person
Food & Nutrition Services,Food Pantries,The Harbor Church,Call First,25-6 Frowein Road,Center Moriches,11940,631-874-4180,https://theharborli.com/communityservice,"40.80902726180942, -72.78029107301352",Call first to make an appointment ,In-Person
Food & Nutrition Services,Food Pantries,The Episopal Church Of St. John The Baptist,Tuesday at 6:30pm,33 Railroad Ave.,Center Moriches,11934,631-878-0022,https://www.stjohnscentermoriches.org/new-page-2,"40.80183519437249, -72.78965088465765",,In-Person
Food & Nutrition Services,Food Pantries,Assumption Parish Social Ministry,Call First,20 Chestnut St,Centereach,11720,631 585-8760,https://www.abvmcentereach.com/our-parish/pastoral-social-ministry/,"40.86123931129652, -73.10137777136232",,In-Person
Food & Nutrition Services,Food Pantries,Our Savior Lutheran Chyrch Centereach,Call First,140 Mark Tree Rd.,Centereach,11720,631-588-2757,https://www.oursaviorlongisland.org/,"40.86483435388429, -73.08408378835587",,In-Person
Food & Nutrition Services,Food Pantries,Our Lady of Queen Martyrs,Call First,53 Prospect Rd,Centerport,11721,631-754-9045,https://www.olqmparish.org/parish-ministries,"40.89340133188619, -73.371251913604",,In-Person
Food & Nutrition Services,Food Pantries,"Central Islip Civic Council, Inc.",Call First,68 Wheeler Rd.,Central Islip,11722,631-348-0669,https://centralislipciviccouncil.org/programs/emergency-food-pantry/,"40.79574875906972, -73.20761536121773",,In-Person
